id,Make,Model,Year,Kilometers,Trim,Regional Specs,Price,Source,permalink,Age,Age_Kilometers,Kilometers_per_Year,Predicted_Price,price/expected_price
15920539,Jetour,T2,2024.0,20.0,Luxury,GCC Specs,139000.0,Dubizzle,https://dubizzle.com/s/DOBEnet,0.0,0.0,20.0,170252,0.8164368113149919
15909687,Jetour,T2,2024.0,20.0,Luxury,GCC Specs,139000.0,Dubizzle,https://dubizzle.com/s/DOBEkpr,0.0,0.0,20.0,170252,0.8164368113149919
15776377,Jetour,Dashing,2024.0,20.0,Other,GCC Specs,89000.0,Dubizzle,https://dubizzle.com/s/DOBEMJh,0.0,0.0,20.0,85981,1.0351124085553784
15562636,Jetour,X70,2024.0,11.0,FL,GCC Specs,73000.0,Dubizzle,https://dubizzle.com/s/DOBDS8Q,0.0,0.0,11.0,65469,1.1150315416456644
15474072,Jetour,X70,2024.0,10.0,Plus Luxury,GCC Specs,99000.0,Dubizzle,https://dubizzle.com/s/DOBCv5o,0.0,0.0,10.0,84522,1.1712926811954285
15296680,Jetour,X70,2024.0,10.0,Plus Comfort,GCC Specs,89000.0,Dubizzle,https://dubizzle.com/s/DOBCLWe,0.0,0.0,10.0,83576,1.0648990140710253
15982852,Mercedes-Benz,E-Class,2024.0,0.0,E 300,Japanese Specs,349000.0,Dubizzle,https://dubizzle.com/s/DOBFDrw,0.0,0.0,0.0,188562,1.8508501182634889
15869927,Cadillac,Escalade,2021.0,42000.0,Platinum,Canadian Specs,318000.0,Dubizzle,https://dubizzle.com/s/DOBEa49,3.0,126000.0,14000.0,173088,1.8372157515252356
15974741,Mercedes-Benz,G-Class,2024.0,0.0,G 63 AMG,Japanese Specs,865000.0,Dubizzle,https://dubizzle.com/s/DOBFBlH,0.0,0.0,0.0,231585,3.735129650020511
15939714,Ferrari,Roma,2022.0,13900.0,Other,European Specs,930000.0,Dubizzle,https://dubizzle.com/s/DOBEseK,2.0,27800.0,6950.0,107151,8.67934037013187
15939699,Lamborghini,Urus,2023.0,16000.0,Standard,European Specs,1295000.0,Dubizzle,https://dubizzle.com/s/DOBEsdv,1.0,16000.0,16000.0,106252,12.18800587283063
15959424,Rolls-Royce,Ghost,2022.0,7700.0,Black Badge,European Specs,1395000.0,Dubizzle,https://dubizzle.com/s/DOBExmE,2.0,15400.0,3850.0,114809,12.150615369875185
15949088,Porsche,Cayenne,2024.0,300.0,Turbo,GCC Specs,1050000.0,Dubizzle,https://dubizzle.com/s/DOBEvFW,0.0,0.0,300.0,206894,5.07506259243864
15969035,Mercedes-Benz,G-Class,2024.0,0.0,G 63 AMG,European Specs,995000.0,Dubizzle,https://dubizzle.com/s/DOBFARF,0.0,0.0,0.0,233997,4.252191267409411
15831931,Mercedes-Benz,G-Class,2023.0,100.0,G 63 AMG,European Specs,1550000.0,Dubizzle,https://dubizzle.com/s/DOBE0bj,1.0,100.0,100.0,229048,6.767140512032412
15982062,Land Rover,Range Rover Sport,2024.0,0.0,SV,European Specs,1150000.0,Dubizzle,https://dubizzle.com/s/DOBFDfM,0.0,0.0,0.0,198740,5.786454664385629
15874797,Land Rover,Range Rover,2023.0,18000.0,HSE,European Specs,675000.0,Dubizzle,https://dubizzle.com/s/DOBEblH,1.0,18000.0,18000.0,192249,3.511071579045925
15914309,Ferrari,Purosangue,2024.0,1600.0,Other,European Specs,3495000.0,Dubizzle,https://dubizzle.com/s/DOBEmCZ,0.0,0.0,1600.0,114777,30.450351551268984
15939731,Ferrari,F8 Spider,2023.0,500.0,,European Specs,1550000.0,Dubizzle,https://dubizzle.com/s/DOBEse1,1.0,500.0,500.0,117353,13.208013429567202
15934222,Ferrari,812 GTS,2022.0,130.0,Other,European Specs,2175000.0,Dubizzle,https://dubizzle.com/s/DOBErNa,2.0,260.0,65.0,111960,19.426580921757772
15831309,Ferrari,F8 Tributo,2020.0,18000.0,Other,GCC Specs,1049000.0,Dubizzle,https://dubizzle.com/s/DOBE01h,4.0,72000.0,4500.0,95745,10.956185701603216
15934226,Rolls-Royce,Cullinan,2024.0,50.0,Black Badge,European Specs,2325000.0,Dubizzle,https://dubizzle.com/s/DOBErNe,0.0,0.0,50.0,119367,19.47774510543115
15969037,Lamborghini,Urus,2023.0,0.0,Other,European Specs,1550000.0,Dubizzle,https://dubizzle.com/s/DOBFARH,1.0,0.0,0.0,112596,13.766030764858431
15831295,Lamborghini,Huracan,2022.0,500.0,Other,European Specs,1275000.0,Dubizzle,https://dubizzle.com/s/DOBE013,2.0,1000.0,250.0,111688,11.415729532268463
15950345,Porsche,Carrera / 911,2023.0,0.0,GT3,European Specs,1550000.0,Dubizzle,https://dubizzle.com/s/DOBEvZd,1.0,0.0,0.0,202528,7.6532627587296576
15942224,Land Rover,Range Rover,2023.0,0.0,SV Autobiography,GCC Specs,1150000.0,Dubizzle,https://dubizzle.com/s/DOBEtSe,1.0,0.0,0.0,210812,5.455097432783712
15939737,Land Rover,Range Rover,2024.0,7500.0,SV,GCC Specs,1095000.0,Dubizzle,https://dubizzle.com/s/DOBEse7,0.0,0.0,7500.0,181223,6.042279401621207
15842959,Mercedes-Benz,C-Class,2015.0,73000.0,C300 Luxury,Canadian Specs,53000.0,Dubizzle,https://dubizzle.com/s/DOBE33b,9.0,657000.0,8111.111111111111,61152,0.8666928309785452
15973556,Porsche,Macan,2021.0,32000.0,Standard,GCC Specs,234999.0,Dubizzle,https://dubizzle.com/s/DOBFB2A,3.0,96000.0,10666.666666666666,189889,1.2375598375893284
15872006,Land Rover,Range Rover Sport,2016.0,97000.0,HSE,GCC Specs,129999.0,Dubizzle,https://dubizzle.com/s/DOBEbCG,8.0,776000.0,12125.0,127253,1.0215790590398655
15983098,Bentley,Continental GT,2020.0,22965.0,Other,GCC Specs,639000.0,Dubizzle,https://dubizzle.com/s/DOBFDvu,4.0,91860.0,5741.25,158043,4.043203431977373
15938064,Mercedes-Benz,E-Class,2016.0,57000.0,E 350,Other,79999.0,Dubizzle,https://dubizzle.com/s/DOBEsN8,8.0,456000.0,7125.0,87074,0.9187472724349404
15873317,Land Rover,Range Rover,2018.0,72000.0,Autobiography,GCC Specs,279999.0,Dubizzle,https://dubizzle.com/s/DOBEbXP,6.0,432000.0,12000.0,213933,1.3088163116489742
15974462,Toyota,Prado,2024.0,20.0,Other,European Specs,305000.0,Dubizzle,https://dubizzle.com/s/DOBFBgc,0.0,0.0,20.0,179238,1.70164808801705
15850372,Rolls-Royce,Cullinan,2023.0,21.0,Black Badge,European Specs,1949999.0,Dubizzle,https://dubizzle.com/s/DOBE5ZK,1.0,21.0,21.0,117220,16.63537792185634
15838296,McLaren,Senna,2019.0,0.0,Other,GCC Specs,4399999.0,Dubizzle,https://dubizzle.com/s/DOBE2QY,5.0,0.0,0.0,95486,46.080043147686574
15952964,Land Rover,Range Rover Sport,2023.0,19000.0,Other,GCC Specs,699000.0,Dubizzle,https://dubizzle.com/s/DOBEwFs,1.0,19000.0,19000.0,201576,3.467674723181331
15956010,Porsche,Carrera / 911,2023.0,3887.0,Turbo S,GCC Specs,899000.0,Dubizzle,https://dubizzle.com/s/DOBEwtA,1.0,3887.0,3887.0,209829,4.284441140166517
15922486,Land Rover,Range Rover Sport,2024.0,50.0,SV,GCC Specs,1179000.0,Dubizzle,https://dubizzle.com/s/DOBEoKS,0.0,0.0,50.0,203765,5.786077098618507
15981307,Porsche,Taycan,2022.0,14832.0,4S,GCC Specs,389000.0,Dubizzle,https://dubizzle.com/s/DOBFD3B,2.0,29664.0,7416.0,197364,1.9709774832289577
15874960,Hyundai,Palisade,2019.0,40000.0,3.8 V6 4WD,Korean Specs,99999.0,Dubizzle,https://dubizzle.com/s/DOBEbnk,5.0,200000.0,8000.0,83336,1.1999496016127484
15803632,Mercedes-Benz,GLE Coupe,2024.0,0.0,GLE 53 AMG,GCC Specs,499000.0,Dubizzle,https://dubizzle.com/s/DOBETPS,0.0,0.0,0.0,226944,2.1987803158488437
